task_id,workload_id,task_name,category,effort_hours_month,automatable_by_tool,compliance_mandated_human
TK-0281,WL-0073,Monitor system alerts,directive,9.6,ServiceNow AI,False
TK-0282,WL-0073,Coordinate incident response,negligibility,9.6,,False
TK-0283,WL-0073,Tune alert thresholds,feedback_loop,9.6,ServiceNow AI,False
TK-0284,WL-0074,Design system interfaces,negligibility,12.8,,False
TK-0285,WL-0074,Define non-functional requirements,negligibility,12.8,,False
TK-0286,WL-0074,Evaluate technology options,task_iteration,12.8,,False
TK-0287,WL-0075,Schedule and track tasks,directive,7.2,Microsoft Copilot,False
TK-0288,WL-0075,Stakeholder communication,negligibility,7.2,,False
TK-0289,WL-0075,Facilitate team retrospectives,negligibility,7.2,,False
TK-0290,WL-0075,Mentor junior developers,negligibility,7.2,,True
TK-0291,WL-0076,Classify incident severity,directive,12.8,ServiceNow AI,False
TK-0292,WL-0076,Tune alert thresholds,feedback_loop,12.8,ServiceNow AI,False
TK-0293,WL-0076,Monitor system alerts,directive,12.8,ServiceNow AI,False
TK-0294,WL-0077,Refine code architecture,task_iteration,14.0,Microsoft Copilot,False
TK-0295,WL-0077,Make architectural trade-offs,negligibility,14.0,,False
TK-0296,WL-0077,Debug with AI assistance,feedback_loop,14.0,Microsoft Copilot,False
TK-0297,WL-0077,Write boilerplate code,directive,14.0,Microsoft Copilot,False
TK-0298,WL-0078,Define non-functional requirements,negligibility,10.7,,False
TK-0299,WL-0078,Design system interfaces,negligibility,10.7,,False
TK-0300,WL-0078,Evaluate technology options,task_iteration,10.7,,False
TK-0301,WL-0079,Classify incident severity,directive,8.0,ServiceNow AI,False
TK-0302,WL-0079,Investigate root causes,learning,8.0,,False
TK-0303,WL-0079,Tune alert thresholds,feedback_loop,8.0,ServiceNow AI,False
TK-0304,WL-0079,Monitor system alerts,directive,8.0,ServiceNow AI,False
TK-0305,WL-0080,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0306,WL-0080,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0307,WL-0080,Create architecture diagrams,negligibility,6.0,,False
TK-0308,WL-0080,Review documentation accuracy,validation,6.0,,False
TK-0309,WL-0081,Stakeholder communication,negligibility,8.0,,False
TK-0310,WL-0081,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0311,WL-0081,Facilitate team retrospectives,negligibility,8.0,,False
TK-0312,WL-0082,Make architectural trade-offs,negligibility,9.6,,False
TK-0313,WL-0082,Research new frameworks,learning,9.6,Microsoft Copilot,False
TK-0314,WL-0082,Refine code architecture,task_iteration,9.6,Microsoft Copilot,False
TK-0315,WL-0082,Debug with AI assistance,feedback_loop,9.6,Microsoft Copilot,False
TK-0316,WL-0082,Write boilerplate code,directive,9.6,Microsoft Copilot,False
TK-0317,WL-0083,Define non-functional requirements,negligibility,10.7,,False
TK-0318,WL-0083,Research design patterns,learning,10.7,Microsoft Copilot,False
TK-0319,WL-0083,Evaluate technology options,task_iteration,10.7,,False
TK-0320,WL-0084,Create architecture diagrams,negligibility,6.0,,False
TK-0321,WL-0084,Review documentation accuracy,validation,6.0,,False
TK-0322,WL-0084,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0323,WL-0084,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0324,WL-0085,Write boilerplate code,directive,9.6,Microsoft Copilot,False
TK-0325,WL-0085,Debug with AI assistance,feedback_loop,9.6,Microsoft Copilot,False
TK-0326,WL-0085,Research new frameworks,learning,9.6,Microsoft Copilot,False
TK-0327,WL-0085,Refine code architecture,task_iteration,9.6,Microsoft Copilot,False
TK-0328,WL-0085,Make architectural trade-offs,negligibility,9.6,,False
TK-0329,WL-0086,Tune alert thresholds,feedback_loop,6.4,ServiceNow AI,False
TK-0330,WL-0086,Coordinate incident response,negligibility,6.4,,False
TK-0331,WL-0086,Monitor system alerts,directive,6.4,ServiceNow AI,False
TK-0332,WL-0086,Classify incident severity,directive,6.4,ServiceNow AI,False
TK-0333,WL-0086,Investigate root causes,learning,6.4,,False
TK-0334,WL-0087,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0335,WL-0087,Mentor junior developers,negligibility,8.0,,True
TK-0336,WL-0087,Stakeholder communication,negligibility,8.0,,False
TK-0337,WL-0088,Mentor junior developers,negligibility,10.8,,True
TK-0338,WL-0088,Stakeholder communication,negligibility,10.8,,False
TK-0339,WL-0088,Schedule and track tasks,directive,10.8,Microsoft Copilot,False
TK-0340,WL-0088,Facilitate team retrospectives,negligibility,10.8,,False
TK-0341,WL-0089,Evaluate technology options,task_iteration,19.2,,False
TK-0342,WL-0089,Define non-functional requirements,negligibility,19.2,,False
TK-0343,WL-0089,Research design patterns,learning,19.2,Microsoft Copilot,False
TK-0344,WL-0090,Coordinate incident response,negligibility,14.4,,False
TK-0345,WL-0090,Classify incident severity,directive,14.4,ServiceNow AI,False
TK-0346,WL-0090,Tune alert thresholds,feedback_loop,14.4,ServiceNow AI,False
TK-0347,WL-0090,Monitor system alerts,directive,14.4,ServiceNow AI,False
TK-0348,WL-0091,Document resolution,task_iteration,10.0,Microsoft Copilot,False
TK-0349,WL-0091,Identify discrepancies,feedback_loop,10.0,UiPath RPA,False
TK-0350,WL-0091,Investigate variances,learning,10.0,,False
TK-0351,WL-0091,Match bank statements,directive,10.0,UiPath RPA,False
TK-0352,WL-0092,Research market conditions,learning,6.0,Microsoft Copilot,False
TK-0353,WL-0092,Present to leadership,negligibility,6.0,,False
TK-0354,WL-0092,Build financial models,task_iteration,6.0,Microsoft Copilot,False
TK-0355,WL-0092,Develop scenario projections,negligibility,6.0,,False
TK-0356,WL-0093,Post journal entries,directive,9.6,Workday AI,False
TK-0357,WL-0093,Approve routine payments,validation,9.6,,True
TK-0358,WL-0093,Flag exceptions,feedback_loop,9.6,UiPath RPA,False
TK-0359,WL-0093,Process invoices,directive,9.6,UiPath RPA,False
TK-0360,WL-0093,Match PO to invoice,directive,9.6,UiPath RPA,False
TK-0361,WL-0094,Analyze trends,task_iteration,10.7,Microsoft Copilot,False
TK-0362,WL-0094,Consolidate departmental data,directive,10.7,Workday AI,False
TK-0363,WL-0094,Review for accuracy,validation,10.7,,True
TK-0364,WL-0095,Prepare audit documentation,directive,5.3,Microsoft Copilot,False
TK-0365,WL-0095,Test internal controls,validation,5.3,,True
TK-0366,WL-0095,Track compliance deadlines,directive,5.3,ServiceNow AI,False
TK-0367,WL-0096,Process invoices,directive,29.3,UiPath RPA,False
TK-0368,WL-0096,Flag exceptions,feedback_loop,29.3,UiPath RPA,False
TK-0369,WL-0096,Match PO to invoice,directive,29.3,UiPath RPA,False
TK-0370,WL-0097,Interpret regulatory changes,learning,9.6,,True
TK-0371,WL-0097,Track compliance deadlines,directive,9.6,ServiceNow AI,False
TK-0372,WL-0097,Prepare audit documentation,directive,9.6,Microsoft Copilot,False
TK-0373,WL-0098,Present to leadership,negligibility,10.8,,False
TK-0374,WL-0098,Develop scenario projections,negligibility,10.8,,False
TK-0375,WL-0098,Build financial models,task_iteration,10.8,Microsoft Copilot,False
TK-0376,WL-0098,Research market conditions,learning,10.8,Microsoft Copilot,False
TK-0377,WL-0099,Generate financial reports,directive,10.8,Workday AI,False
TK-0378,WL-0099,Consolidate departmental data,directive,10.8,Workday AI,False
TK-0379,WL-0099,Review for accuracy,validation,10.8,,True
TK-0380,WL-0099,Analyze trends,task_iteration,10.8,Microsoft Copilot,False
TK-0381,WL-0100,Match PO to invoice,directive,21.3,UiPath RPA,False
TK-0382,WL-0100,Flag exceptions,feedback_loop,21.3,UiPath RPA,False
TK-0383,WL-0100,Approve routine payments,validation,21.3,,True
TK-0384,WL-0101,Track compliance deadlines,directive,5.2,ServiceNow AI,False
TK-0385,WL-0101,Test internal controls,validation,5.2,,True
TK-0386,WL-0101,Interpret regulatory changes,learning,5.2,,True
TK-0387,WL-0101,Prepare audit documentation,directive,5.2,Microsoft Copilot,False
TK-0388,WL-0102,Develop scenario projections,negligibility,8.0,,False
TK-0389,WL-0102,Present to leadership,negligibility,8.0,,False
TK-0390,WL-0102,Build financial models,task_iteration,8.0,Microsoft Copilot,False
TK-0391,WL-0102,Research market conditions,learning,8.0,Microsoft Copilot,False
TK-0392,WL-0103,Post journal entries,directive,20.3,Workday AI,False
TK-0393,WL-0103,Process invoices,directive,20.3,UiPath RPA,False
TK-0394,WL-0103,Approve routine payments,validation,20.3,,True
TK-0395,WL-0104,Develop scenario projections,negligibility,7.6,,False
TK-0396,WL-0104,Research market conditions,learning,7.6,Microsoft Copilot,False
TK-0397,WL-0104,Build financial models,task_iteration,7.6,Microsoft Copilot,False
TK-0398,WL-0104,Present to leadership,negligibility,7.6,,False
TK-0399,WL-0105,Identify discrepancies,feedback_loop,16.5,UiPath RPA,False
TK-0400,WL-0105,Document resolution,task_iteration,16.5,Microsoft Copilot,False
TK-0401,WL-0105,Investigate variances,learning,16.5,,False
TK-0402,WL-0106,Test internal controls,validation,4.8,,True
TK-0403,WL-0106,Track compliance deadlines,directive,4.8,ServiceNow AI,False
TK-0404,WL-0106,Prepare audit documentation,directive,4.8,Microsoft Copilot,False
TK-0405,WL-0106,Interpret regulatory changes,learning,4.8,,True
TK-0406,WL-0107,Analyze trends,task_iteration,8.0,Microsoft Copilot,False
TK-0407,WL-0107,Generate financial reports,directive,8.0,Workday AI,False
TK-0408,WL-0107,Review for accuracy,validation,8.0,,True
TK-0409,WL-0107,Consolidate departmental data,directive,8.0,Workday AI,False
TK-0410,WL-0108,Process invoices,directive,12.0,UiPath RPA,False
TK-0411,WL-0108,Post journal entries,directive,12.0,Workday AI,False
TK-0412,WL-0108,Match PO to invoice,directive,12.0,UiPath RPA,False
TK-0413,WL-0108,Approve routine payments,validation,12.0,,True
TK-0414,WL-0109,Investigate variances,learning,10.0,,False
TK-0415,WL-0109,Identify discrepancies,feedback_loop,10.0,UiPath RPA,False
TK-0416,WL-0109,Match bank statements,directive,10.0,UiPath RPA,False
TK-0417,WL-0109,Document resolution,task_iteration,10.0,Microsoft Copilot,False
TK-0418,WL-0110,Test internal controls,validation,4.0,,True
TK-0419,WL-0110,Prepare audit documentation,directive,4.0,Microsoft Copilot,False
TK-0420,WL-0110,Interpret regulatory changes,learning,4.0,,True
TK-0421,WL-0110,Track compliance deadlines,directive,4.0,ServiceNow AI,False
TK-0422,WL-0111,Develop scenario projections,negligibility,8.0,,False
TK-0423,WL-0111,Present to leadership,negligibility,8.0,,False
TK-0424,WL-0111,Build financial models,task_iteration,8.0,Microsoft Copilot,False
TK-0425,WL-0112,Research market conditions,learning,8.4,Microsoft Copilot,False
TK-0426,WL-0112,Build financial models,task_iteration,8.4,Microsoft Copilot,False
TK-0427,WL-0112,Develop scenario projections,negligibility,8.4,,False
TK-0428,WL-0112,Present to leadership,negligibility,8.4,,False
TK-0429,WL-0113,Generate financial reports,directive,11.6,Workday AI,False
TK-0430,WL-0113,Consolidate departmental data,directive,11.6,Workday AI,False
TK-0431,WL-0113,Analyze trends,task_iteration,11.6,Microsoft Copilot,False
TK-0432,WL-0113,Review for accuracy,validation,11.6,,True
TK-0433,WL-0114,Investigate variances,learning,14.4,,False
TK-0434,WL-0114,Document resolution,task_iteration,14.4,Microsoft Copilot,False
TK-0435,WL-0114,Identify discrepancies,feedback_loop,14.4,UiPath RPA,False
TK-0436,WL-0114,Match bank statements,directive,14.4,UiPath RPA,False
TK-0437,WL-0115,Track compliance deadlines,directive,5.6,ServiceNow AI,False
TK-0438,WL-0115,Test internal controls,validation,5.6,,True
TK-0439,WL-0115,Prepare audit documentation,directive,5.6,Microsoft Copilot,False
TK-0440,WL-0115,Interpret regulatory changes,learning,5.6,,True
TK-0441,WL-0116,Document resolution,task_iteration,11.2,Microsoft Copilot,False
TK-0442,WL-0116,Identify discrepancies,feedback_loop,11.2,UiPath RPA,False
TK-0443,WL-0116,Investigate variances,learning,11.2,,False
TK-0444,WL-0116,Match bank statements,directive,11.2,UiPath RPA,False
TK-0445,WL-0117,Consolidate departmental data,directive,8.8,Workday AI,False
TK-0446,WL-0117,Analyze trends,task_iteration,8.8,Microsoft Copilot,False
TK-0447,WL-0117,Generate financial reports,directive,8.8,Workday AI,False
TK-0448,WL-0117,Review for accuracy,validation,8.8,,True
TK-0449,WL-0118,Flag exceptions,feedback_loop,17.6,UiPath RPA,False
TK-0450,WL-0118,Post journal entries,directive,17.6,Workday AI,False
TK-0451,WL-0118,Approve routine payments,validation,17.6,,True
TK-0452,WL-0119,Build financial models,task_iteration,9.1,Microsoft Copilot,False
TK-0453,WL-0119,Research market conditions,learning,9.1,Microsoft Copilot,False
TK-0454,WL-0119,Present to leadership,negligibility,9.1,,False
TK-0455,WL-0120,Track compliance deadlines,directive,7.2,ServiceNow AI,False
TK-0456,WL-0120,Test internal controls,validation,7.2,,True
TK-0457,WL-0120,Prepare audit documentation,directive,7.2,Microsoft Copilot,False
TK-0458,WL-0120,Interpret regulatory changes,learning,7.2,,True
TK-0459,WL-0121,Match PO to invoice,directive,29.3,UiPath RPA,False
TK-0460,WL-0121,Flag exceptions,feedback_loop,29.3,UiPath RPA,False
TK-0461,WL-0121,Approve routine payments,validation,29.3,,True
TK-0462,WL-0122,Present to leadership,negligibility,14.4,,False
TK-0463,WL-0122,Build financial models,task_iteration,14.4,Microsoft Copilot,False
TK-0464,WL-0122,Research market conditions,learning,14.4,Microsoft Copilot,False
TK-0465,WL-0123,Generate workforce analytics,directive,8.0,Workday AI,False
TK-0466,WL-0123,Build dashboards,task_iteration,8.0,Microsoft Copilot,False
TK-0467,WL-0123,Clean HR data,directive,8.0,Workday AI,False
TK-0468,WL-0123,Validate data accuracy,validation,8.0,Workday AI,False
TK-0469,WL-0124,Process employee forms,directive,12.0,Workday AI,False
TK-0470,WL-0124,Generate HR reports,directive,12.0,Workday AI,False
TK-0471,WL-0124,Answer policy questions,feedback_loop,12.0,Microsoft Copilot,False
TK-0472,WL-0124,Update employee records,directive,12.0,Workday AI,False
TK-0473,WL-0125,Develop succession plans,negligibility,4.0,,True
TK-0474,WL-0125,Analyze workforce trends,learning,4.0,Microsoft Copilot,False
TK-0475,WL-0125,Benchmark against industry,learning,4.0,Microsoft Copilot,False
TK-0476,WL-0125,Present to executive team,negligibility,4.0,,True
TK-0477,WL-0126,Assess training effectiveness,learning,6.0,,False
TK-0478,WL-0126,Create training materials,task_iteration,6.0,Microsoft Copilot,False
TK-0479,WL-0126,Design training programs,negligibility,6.0,,False
TK-0480,WL-0126,Track program completion,directive,6.0,Workday AI,False
TK-0481,WL-0127,Draft communication plans,task_iteration,13.3,Microsoft Copilot,False
TK-0482,WL-0127,Conduct 1-on-1 conversations,negligibility,13.3,,True
TK-0483,WL-0127,Coach managers,negligibility,13.3,,True
TK-0484,WL-0128,Process employee forms,directive,9.6,Workday AI,False
TK-0485,WL-0128,Generate HR reports,directive,9.6,Workday AI,False
TK-0486,WL-0128,Answer policy questions,feedback_loop,9.6,Microsoft Copilot,False
TK-0487,WL-0128,Update employee records,directive,9.6,Workday AI,False
TK-0488,WL-0128,Route approvals,directive,9.6,Workday AI,False
TK-0489,WL-0129,Mediate workplace conflicts,negligibility,13.3,,True
TK-0490,WL-0129,Coach managers,negligibility,13.3,,True
TK-0491,WL-0129,Draft communication plans,task_iteration,13.3,Microsoft Copilot,False
TK-0492,WL-0130,Clean HR data,directive,10.7,Workday AI,False
TK-0493,WL-0130,Generate workforce analytics,directive,10.7,Workday AI,False
TK-0494,WL-0130,Build dashboards,task_iteration,10.7,Microsoft Copilot,False
TK-0495,WL-0131,Develop succession plans,negligibility,4.0,,True
TK-0496,WL-0131,Benchmark against industry,learning,4.0,Microsoft Copilot,False
TK-0497,WL-0131,Present to executive team,negligibility,4.0,,True
TK-0498,WL-0131,Analyze workforce trends,learning,4.0,Microsoft Copilot,False
TK-0499,WL-0132,Create training materials,task_iteration,6.0,Microsoft Copilot,False
TK-0500,WL-0132,Track program completion,directive,6.0,Workday AI,False
TK-0501,WL-0132,Assess training effectiveness,learning,6.0,,False
TK-0502,WL-0132,Design training programs,negligibility,6.0,,False
TK-0503,WL-0133,Validate data accuracy,validation,16.5,Workday AI,False
TK-0504,WL-0133,Clean HR data,directive,16.5,Workday AI,False
TK-0505,WL-0133,Build dashboards,task_iteration,16.5,Microsoft Copilot,False
TK-0506,WL-0134,Route approvals,directive,14.7,Workday AI,False
TK-0507,WL-0134,Process employee forms,directive,14.7,Workday AI,False
TK-0508,WL-0134,Generate HR reports,directive,14.7,Workday AI,False
TK-0509,WL-0134,Update employee records,directive,14.7,Workday AI,False
TK-0510,WL-0134,Answer policy questions,feedback_loop,14.7,Microsoft Copilot,False
TK-0511,WL-0135,Design training programs,negligibility,9.2,,False
TK-0512,WL-0135,Create training materials,task_iteration,9.2,Microsoft Copilot,False
TK-0513,WL-0135,Assess training effectiveness,learning,9.2,,False
TK-0514,WL-0135,Track program completion,directive,9.2,Workday AI,False
TK-0515,WL-0136,Clean HR data,directive,11.6,Workday AI,False
TK-0516,WL-0136,Validate data accuracy,validation,11.6,Workday AI,False
TK-0517,WL-0136,Generate workforce analytics,directive,11.6,Workday AI,False
TK-0518,WL-0136,Build dashboards,task_iteration,11.6,Microsoft Copilot,False
TK-0519,WL-0137,Track program completion,directive,11.2,Workday AI,False
TK-0520,WL-0137,Assess training effectiveness,learning,11.2,,False
TK-0521,WL-0137,Create training materials,task_iteration,11.2,Microsoft Copilot,False
TK-0522,WL-0138,Benchmark against industry,learning,5.6,Microsoft Copilot,False
TK-0523,WL-0138,Present to executive team,negligibility,5.6,,True
TK-0524,WL-0138,Develop succession plans,negligibility,5.6,,True
TK-0525,WL-0138,Analyze workforce trends,learning,5.6,Microsoft Copilot,False
TK-0526,WL-0139,Conduct 1-on-1 conversations,negligibility,14.4,,True
TK-0527,WL-0139,Draft communication plans,task_iteration,14.4,Microsoft Copilot,False
TK-0528,WL-0139,Mediate workplace conflicts,negligibility,14.4,,True
TK-0529,WL-0139,Coach managers,negligibility,14.4,,True
TK-0530,WL-0140,Update employee records,directive,12.0,Workday AI,False
TK-0531,WL-0140,Process employee forms,directive,12.0,Workday AI,False
TK-0532,WL-0140,Route approvals,directive,12.0,Workday AI,False
TK-0533,WL-0140,Generate HR reports,directive,12.0,Workday AI,False
TK-0534,WL-0141,Draft communication plans,task_iteration,10.0,Microsoft Copilot,False
TK-0535,WL-0141,Coach managers,negligibility,10.0,,True
TK-0536,WL-0141,Mediate workplace conflicts,negligibility,10.0,,True
TK-0537,WL-0141,Conduct 1-on-1 conversations,negligibility,10.0,,True
TK-0538,WL-0142,Design training programs,negligibility,6.0,,False
TK-0539,WL-0142,Track program completion,directive,6.0,Workday AI,False
TK-0540,WL-0142,Assess training effectiveness,learning,6.0,,False
TK-0541,WL-0142,Create training materials,task_iteration,6.0,Microsoft Copilot,False
TK-0542,WL-0143,Analyze workforce trends,learning,4.0,Microsoft Copilot,False
TK-0543,WL-0143,Present to executive team,negligibility,4.0,,True
TK-0544,WL-0143,Develop succession plans,negligibility,4.0,,True
TK-0545,WL-0143,Benchmark against industry,learning,4.0,Microsoft Copilot,False
TK-0546,WL-0144,Validate data accuracy,validation,10.7,Workday AI,False
TK-0547,WL-0144,Generate workforce analytics,directive,10.7,Workday AI,False
TK-0548,WL-0144,Build dashboards,task_iteration,10.7,Microsoft Copilot,False
TK-0549,WL-0145,Assess training effectiveness,learning,6.8,,False
TK-0550,WL-0145,Create training materials,task_iteration,6.8,Microsoft Copilot,False
TK-0551,WL-0145,Design training programs,negligibility,6.8,,False
TK-0552,WL-0145,Track program completion,directive,6.8,Workday AI,False
TK-0553,WL-0146,Draft communication plans,task_iteration,11.2,Microsoft Copilot,False
TK-0554,WL-0146,Coach managers,negligibility,11.2,,True
TK-0555,WL-0146,Mediate workplace conflicts,negligibility,11.2,,True
TK-0556,WL-0146,Conduct 1-on-1 conversations,negligibility,11.2,,True
TK-0557,WL-0147,Clean HR data,directive,8.8,Workday AI,False
TK-0558,WL-0147,Generate workforce analytics,directive,8.8,Workday AI,False
TK-0559,WL-0147,Build dashboards,task_iteration,8.8,Microsoft Copilot,False
TK-0560,WL-0147,Validate data accuracy,validation,8.8,Workday AI,False
TK-0561,WL-0148,Process employee forms,directive,13.2,Workday AI,False
TK-0562,WL-0148,Answer policy questions,feedback_loop,13.2,Microsoft Copilot,False
TK-0563,WL-0148,Update employee records,directive,13.2,Workday AI,False
TK-0564,WL-0148,Generate HR reports,directive,13.2,Workday AI,False
TK-0565,WL-0149,Coach managers,negligibility,12.4,,True
TK-0566,WL-0149,Draft communication plans,task_iteration,12.4,Microsoft Copilot,False
TK-0567,WL-0149,Mediate workplace conflicts,negligibility,12.4,,True
TK-0568,WL-0149,Conduct 1-on-1 conversations,negligibility,12.4,,True
TK-0569,WL-0150,Track program completion,directive,7.6,Workday AI,False
TK-0570,WL-0150,Create training materials,task_iteration,7.6,Microsoft Copilot,False
TK-0571,WL-0150,Design training programs,negligibility,7.6,,False
TK-0572,WL-0150,Assess training effectiveness,learning,7.6,,False
TK-0573,WL-0151,Generate HR reports,directive,12.2,Workday AI,False
TK-0574,WL-0151,Process employee forms,directive,12.2,Workday AI,False
TK-0575,WL-0151,Route approvals,directive,12.2,Workday AI,False
TK-0576,WL-0151,Update employee records,directive,12.2,Workday AI,False
TK-0577,WL-0151,Answer policy questions,feedback_loop,12.2,Microsoft Copilot,False
TK-0578,WL-0152,Analyze workforce trends,learning,4.8,Microsoft Copilot,False
TK-0579,WL-0152,Benchmark against industry,learning,4.8,Microsoft Copilot,False
TK-0580,WL-0152,Develop succession plans,negligibility,4.8,,True
TK-0581,WL-0152,Present to executive team,negligibility,4.8,,True
