workload_id,role_id,workload_name,time_pct,directive_pct,feedback_loop_pct,task_iteration_pct,learning_pct,validation_pct,negligibility_pct
WL-0001,CL-001,Document Processing,50,24,13,12,16,19,16
WL-0002,CL-001,Data Entry & Validation,33,44,24,6,0,24,2
WL-0003,CL-001,Reporting & Compliance,17,18,18,19,5,33,7
WL-0004,CL-002,Customer Communication,25,5,7,22,15,10,41
WL-0005,CL-002,Investigation & Analysis,15,6,7,24,29,18,16
WL-0006,CL-002,Data Entry & Validation,20,34,23,9,0,26,8
WL-0007,CL-002,Reporting & Compliance,10,16,16,11,13,29,15
WL-0008,CL-002,Document Processing,30,30,15,20,8,11,16
WL-0009,CL-003,Data Entry & Validation,27,35,18,12,10,24,1
WL-0010,CL-003,Document Processing,40,23,14,12,14,13,24
WL-0011,CL-003,Investigation & Analysis,20,9,5,26,27,15,18
WL-0012,CL-003,Reporting & Compliance,13,18,12,17,11,28,14
WL-0013,CL-004,Data Entry & Validation,27,36,21,9,1,23,10
WL-0014,CL-004,Document Processing,40,23,12,18,11,14,22
WL-0015,CL-004,Investigation & Analysis,20,7,7,25,23,19,19
WL-0016,CL-004,Reporting & Compliance,13,21,12,17,10,30,10
WL-0017,CL-005,Customer Communication,36,5,0,19,14,20,42
WL-0018,CL-005,Reporting & Compliance,14,23,15,18,6,29,9
WL-0019,CL-005,Data Entry & Validation,29,37,21,12,4,26,0
WL-0020,CL-005,Investigation & Analysis,21,9,5,27,25,17,17
WL-0021,CL-006,Document Processing,35,27,10,14,13,12,24
WL-0022,CL-006,Data Entry & Validation,24,28,22,8,9,25,8
WL-0023,CL-006,Customer Communication,29,6,2,20,12,15,45
WL-0024,CL-006,Reporting & Compliance,12,16,21,16,13,27,7
WL-0025,CL-007,Data Entry & Validation,24,40,16,6,7,22,9
WL-0026,CL-007,Customer Communication,29,5,2,25,17,15,36
WL-0027,CL-007,Document Processing,35,22,17,18,10,12,21
WL-0028,CL-007,Reporting & Compliance,12,17,13,15,14,32,9
WL-0029,CL-008,Reporting & Compliance,10,17,16,10,15,34,8
WL-0030,CL-008,Investigation & Analysis,15,10,9,22,23,27,9
WL-0031,CL-008,Document Processing,30,26,12,11,11,12,28
WL-0032,CL-008,Data Entry & Validation,20,31,18,14,7,22,8
WL-0033,CL-008,Customer Communication,25,5,8,22,16,9,40
WL-0034,CL-009,Customer Communication,25,8,6,20,9,16,41
WL-0035,CL-009,Document Processing,30,32,12,11,12,16,17
WL-0036,CL-009,Investigation & Analysis,15,3,8,24,29,23,13
WL-0037,CL-009,Reporting & Compliance,10,23,13,15,13,30,6
WL-0038,CL-009,Data Entry & Validation,20,36,22,6,0,29,7
WL-0039,CL-010,Document Processing,46,26,17,17,8,16,16
WL-0040,CL-010,Customer Communication,38,5,6,16,17,12,44
WL-0041,CL-010,Reporting & Compliance,15,18,15,17,14,30,6
WL-0042,CL-011,Data Entry & Validation,24,35,15,5,9,27,9
WL-0043,CL-011,Customer Communication,29,12,2,16,20,9,41
WL-0044,CL-011,Document Processing,35,21,19,11,15,13,21
WL-0045,CL-011,Reporting & Compliance,12,16,19,13,14,34,4
WL-0046,CL-012,Investigation & Analysis,25,3,15,25,23,19,15
WL-0047,CL-012,Data Entry & Validation,33,30,23,14,4,25,4
WL-0048,CL-012,Customer Communication,42,4,0,23,20,16,37
WL-0049,TE-001,Team Collaboration,30,4,2,17,7,9,61
WL-0050,TE-001,System Monitoring,40,18,21,16,12,18,15
WL-0051,TE-001,Documentation,30,27,12,9,18,12,22
WL-0052,TE-002,System Monitoring,31,16,29,12,9,19,15
WL-0053,TE-002,Documentation,23,22,10,12,19,14,23
WL-0054,TE-002,Code Development,46,18,12,24,15,11,20
WL-0055,TE-003,Documentation,15,28,8,11,16,12,25
WL-0056,TE-003,Code Development,30,20,6,23,18,13,20
WL-0057,TE-003,Architecture & Design,20,0,5,24,27,9,35
WL-0058,TE-003,System Monitoring,20,20,23,16,12,17,12
WL-0059,TE-003,Team Collaboration,15,3,10,13,15,6,53
WL-0060,TE-004,Team Collaboration,15,6,0,12,10,11,61
WL-0061,TE-004,System Monitoring,20,21,28,14,7,24,6
WL-0062,TE-004,Code Development,30,17,8,23,22,15,15
WL-0063,TE-004,Documentation,15,24,8,11,21,8,28
WL-0064,TE-004,Architecture & Design,20,3,4,16,24,12,41
WL-0065,TE-005,Team Collaboration,15,2,9,15,5,6,63
WL-0066,TE-005,Documentation,15,24,9,14,15,13,25
WL-0067,TE-005,Code Development,30,12,12,31,19,15,11
WL-0068,TE-005,Architecture & Design,20,4,0,21,25,15,35
WL-0069,TE-005,System Monitoring,20,18,25,16,6,25,10
WL-0070,TE-006,Code Development,35,18,10,23,19,13,17
WL-0071,TE-006,Documentation,18,21,7,15,19,10,28
WL-0072,TE-006,Architecture & Design,24,0,8,22,22,12,36
WL-0073,TE-006,System Monitoring,24,16,25,15,8,22,14
WL-0074,TE-007,Architecture & Design,24,6,7,17,29,8,33
WL-0075,TE-007,Team Collaboration,18,7,9,18,12,9,45
WL-0076,TE-007,System Monitoring,24,19,32,15,8,19,7
WL-0077,TE-007,Code Development,35,11,6,26,24,21,12
WL-0078,TE-008,Architecture & Design,20,4,3,18,33,8,34
WL-0079,TE-008,System Monitoring,20,22,24,12,14,23,5
WL-0080,TE-008,Documentation,15,29,8,11,17,7,28
WL-0081,TE-008,Team Collaboration,15,9,7,15,12,9,48
WL-0082,TE-008,Code Development,30,17,12,24,21,15,11
WL-0083,TE-009,Architecture & Design,20,8,3,19,27,8,35
WL-0084,TE-009,Documentation,15,24,9,16,16,14,21
WL-0085,TE-009,Code Development,30,14,8,26,24,14,14
WL-0086,TE-009,System Monitoring,20,16,25,16,10,22,11
WL-0087,TE-009,Team Collaboration,15,6,0,13,11,11,59
WL-0088,TE-010,Team Collaboration,27,0,5,14,11,11,59
WL-0089,TE-010,Architecture & Design,36,6,9,17,26,10,32
WL-0090,TE-010,System Monitoring,36,20,26,10,11,19,14
WL-0091,FI-001,Reconciliation,25,22,27,18,5,19,9
WL-0092,FI-001,Analysis & Forecasting,15,7,2,30,30,11,20
WL-0093,FI-001,Transaction Processing,30,36,20,8,7,25,4
WL-0094,FI-001,Reporting,20,27,14,16,9,16,18
WL-0095,FI-001,Compliance & Audit,10,5,14,10,16,34,21
WL-0096,FI-002,Transaction Processing,55,37,17,16,2,26,2
WL-0097,FI-002,Compliance & Audit,18,11,14,10,18,31,16
WL-0098,FI-002,Analysis & Forecasting,27,4,5,22,34,19,16
WL-0099,FI-003,Reporting,27,22,18,19,10,19,12
WL-0100,FI-003,Transaction Processing,40,32,24,15,3,21,5
WL-0101,FI-003,Compliance & Audit,13,14,13,11,18,29,15
WL-0102,FI-003,Analysis & Forecasting,20,7,6,28,28,10,21
WL-0103,FI-004,Transaction Processing,38,34,19,14,7,21,5
WL-0104,FI-004,Analysis & Forecasting,19,2,7,27,26,17,21
WL-0105,FI-004,Reconciliation,31,20,25,15,13,22,5
WL-0106,FI-004,Compliance & Audit,12,8,6,15,18,35,18
WL-0107,FI-005,Reporting,20,28,13,15,9,20,15
WL-0108,FI-005,Transaction Processing,30,38,19,13,0,27,3
WL-0109,FI-005,Reconciliation,25,16,23,16,12,29,4
WL-0110,FI-005,Compliance & Audit,10,12,15,17,17,29,10
WL-0111,FI-005,Analysis & Forecasting,15,4,3,26,28,14,25
WL-0112,FI-006,Analysis & Forecasting,21,5,7,25,30,14,19
WL-0113,FI-006,Reporting,29,23,14,17,7,26,13
WL-0114,FI-006,Reconciliation,36,17,22,16,9,28,8
WL-0115,FI-006,Compliance & Audit,14,15,10,12,14,36,13
WL-0116,FI-007,Reconciliation,28,22,23,11,15,27,2
WL-0117,FI-007,Reporting,22,30,17,11,5,24,13
WL-0118,FI-007,Transaction Processing,33,38,22,12,5,22,1
WL-0119,FI-007,Analysis & Forecasting,17,4,7,22,27,17,23
WL-0120,FI-008,Compliance & Audit,18,8,16,16,12,37,11
WL-0121,FI-008,Transaction Processing,55,33,18,12,8,25,4
WL-0122,FI-008,Analysis & Forecasting,27,7,5,24,29,13,22
WL-0123,PE-001,Data Management,20,30,18,14,15,16,7
WL-0124,PE-001,Administrative Processing,30,33,14,21,7,14,11
WL-0125,PE-001,Strategic Planning,10,4,7,18,21,11,39
WL-0126,PE-001,Program Delivery,15,8,9,19,22,11,31
WL-0127,PE-001,Employee Relations,25,3,4,18,17,14,44
WL-0128,PE-002,Administrative Processing,30,31,12,11,8,16,22
WL-0129,PE-002,Employee Relations,25,9,4,17,11,12,47
WL-0130,PE-002,Data Management,20,24,17,16,12,20,11
WL-0131,PE-002,Strategic Planning,10,0,9,10,21,12,48
WL-0132,PE-002,Program Delivery,15,9,5,16,19,21,30
WL-0133,PE-003,Data Management,31,25,21,19,11,18,6
WL-0134,PE-003,Administrative Processing,46,31,15,18,11,10,15
WL-0135,PE-003,Program Delivery,23,10,11,20,20,20,19
WL-0136,PE-004,Data Management,29,23,24,15,12,14,12
WL-0137,PE-004,Program Delivery,21,7,11,21,22,12,27
WL-0138,PE-004,Strategic Planning,14,6,0,18,21,13,42
WL-0139,PE-004,Employee Relations,36,0,3,18,15,14,50
WL-0140,PE-005,Administrative Processing,30,31,16,11,5,19,18
WL-0141,PE-005,Employee Relations,25,3,2,15,19,5,56
WL-0142,PE-005,Program Delivery,15,12,7,20,18,19,24
WL-0143,PE-005,Strategic Planning,10,8,2,16,18,14,42
WL-0144,PE-005,Data Management,20,24,20,16,7,20,13
WL-0145,PE-006,Program Delivery,17,6,9,21,20,18,26
WL-0146,PE-006,Employee Relations,28,0,4,13,18,13,52
WL-0147,PE-006,Data Management,22,25,16,16,12,21,10
WL-0148,PE-006,Administrative Processing,33,28,17,17,10,16,12
WL-0149,PE-007,Employee Relations,31,0,5,16,15,11,53
WL-0150,PE-007,Program Delivery,19,15,7,22,15,12,29
WL-0151,PE-007,Administrative Processing,38,34,15,11,12,11,17
WL-0152,PE-007,Strategic Planning,12,5,0,12,22,18,43
