scenario_id,scenario_family,scenario_name,direction,target_scope,target_functions,target_roles,tools,deployment_months,adoption_phases,alpha_adopt,alpha_expand,alpha_extend,s_curve_k,s_curve_midpoint,hc_policy,redistribution_mode,readiness_threshold,budget_total,max_risk_level,time_horizon_months,objective,events,notes,budget_allocations_json,category_targets_json,compare_with,competitor_automation_growth_pct,deployment_start_month,levels_to_merge,merge_sub_functions,min_quality,natural_attrition_annual_pct,new_role_name,options_json,output_constraint,proficiency_lift,quality_threshold,quantity_needed,reduction_start_month,reskilling_duration_months,reskilling_start_month,reskilling_target_hc,salary_inflation_annual_pct,skill_need,sweep_parameter,sweep_range,target_hc_change_pct,target_metric,target_output_change_pct,target_value,target_value_json,task_sources,urgency,workflow_handoffs_eliminated,workflow_nonlinear_bonus_pct,workstreams_json
SC-1.1,technology_injection,Copilot → Claims Processing,forward,Claims Processing,Claims,,Microsoft Copilot,1,adoption,0.6,0.0,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,500000,medium,36,maximize_savings,[],"Basic cascade validation — single tool, single function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-1.2,technology_injection,Copilot → All Functions,forward,ALL,"Claims,Technology,Finance,People",,Microsoft Copilot,1,adoption,0.6,0.0,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,2000000,medium,36,maximize_savings,[],"Same tool, all functions — proves human system variation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-1.5,technology_injection,Adoption Gap Only (Free Money),forward,ALL,"Claims,Technology,Finance,People",,ALL_DEPLOYED,1,adoption,0.5,0.0,0.0,0.3,4,natural_attrition,hybrid,0,200000,low,36,maximize_savings,[],"Close adoption gap on already-deployed tools — near-zero cost, immediate value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-5.2,output_target,"Maintain Output, -20% Claims HC",inverse,Claims,Claims,,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,automate_first,50,3000000,medium,24,maintain_output,[],"Core business case — same work, fewer people",,,,,,,,,,,,maintain_current_volume,,,,,,,,,,,,,headcount_reduction_pct,,20,,,,,,
SC-7.1,function_transformation,Claims Phased Transformation,forward,Claims,Claims,,"UiPath RPA,Custom Claims AI,Microsoft Copilot","1,7,13","adoption,expansion,extension",0.7,0.4,0.2,0.3,4,moderate_reduction,hybrid,45,4000000,high,36,maximize_savings,[],Full function transformation — 3 phases with staggered tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-10.6,baseline,Do Nothing (Cost of Inaction),forward,ALL,"Claims,Technology,Finance,People",,,,,0.0,0.0,0.0,0.0,0,no_change,none,0,0,low,36,baseline,[],"Baseline — growing cost, increasing competitive gap",,,,10,,,,,8,,,,,,,,,,,3,,,,,,,,,,,,,
SC-6.1,role_transformation,Redesign Claims Adjuster,forward,CL-002,Claims,CL-002,"Microsoft Copilot,Custom Claims AI","1,1",adoption,0.6,0.0,0.0,0.3,4,role_redesign,absorb_adjacent,0,300000,medium,24,role_redesign,[],"Single role deep dive — future JD, skill shift, adjacency impact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-8.1,skill_intervention,Claims AI Academy,forward,Claims,Claims,,,,,0.0,0.0,0.0,0.0,0,no_change,none,0,500000,low,24,build_capability,[],Reskilling only — no tech deployment. Proves R2 proficiency flywheel.,,,,,,,,,,,,,25,,,,6,,450,,,,,,,,,,,,,,
SC-2.1,headcount_target,Reduce 15% Org-Wide,inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,managed_reduction,hybrid,50,5000000,medium,24,achieve_target,[],"Inverse: what tools, budget, timeline to reach 15% HC reduction?",,,,,,,,,,,,,,,,,,,,,,,,,headcount_reduction_pct,,15,,,,,,
SC-2.2,headcount_target,Differentiated Function Targets,inverse,MULTI,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,managed_reduction,hybrid,0,6000000,high,24,achieve_target,[],"Claims -25%, Tech flat, Finance -10%, People -15%. Feasibility per function.",,,,,,,,,,,,,,,,,,,,,,,,,headcount_by_function,,,"{""Claims"": -25, ""Technology"": 0, ""Finance"": -10, ""People"": -15}",,,,,
SC-4.1,automation_target,Reach 35% Automation,inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion,extension",0.7,0.4,0.2,0.3,4,moderate_reduction,hybrid,50,8000000,high,36,achieve_target,[],Inverse: roadmap to 35% automation from current ~12% realized,,,,,,,,,,,,,,,,,,,,,,,,,automation_pct,,35,,,,,,
SC-3.1,budget_constraint,$2M Optimized Allocation,optimization,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,40,2000000,medium,24,maximize_savings,[],"$2M budget — find best allocation across tools, functions, phases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),comparison,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,40,2000000,medium,36,compare_allocations,[],3-way comparison: tech-heavy vs balanced vs people-heavy investment,"[{""name"":""Tech-heavy"",""tech"":2000000,""reskill"":0,""change"":0},{""name"":""Balanced"",""tech"":1000000,""reskill"":500000,""change"":500000},{""name"":""People-heavy"",""tech"":500000,""reskill"":750000,""change"":750000}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-5.3,output_target,"+20% Output, -15% HC in Claims",inverse,Claims,Claims,,ALL_AVAILABLE,,"adoption,expansion,extension",0.7,0.4,0.2,0.3,4,active_reduction,automate_first,60,4000000,high,24,achieve_dual_target,[],Hardest scenario — more output with fewer people. Feasibility test.,,,,,,,,,,,,,,,,,,,,,,,,-15,dual,20,,,,,,,
SC-12.2,composite,$15M in 24 Months (What Does It Take?),inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion,extension",0.8,0.5,0.3,0.35,3,active_reduction,hybrid,55,0,medium,24,find_minimum_program,[],Meta-inverse: what minimum program achieves $15M savings in 24 months?,,,,,,,,0.9,,,,,,,,,,,,,,,,,net_savings,,15000000,,,,,,
SC-4.3,automation_target,Task Category Targets,inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion,extension",0.7,0.4,0.2,0.3,4,moderate_reduction,hybrid,50,6000000,high,36,achieve_category_targets,[],Category-level automation targets — reveals future shape of work,,"{""directive"":90,""feedback_loop"":80,""task_iteration"":50,""learning"":30,""validation"":40,""negligibility"":0}",,,,,,,,,,,,,,,,,,,,,,,automation_by_category,,,,,,,,
SC-9.1a,sequencing,Sequence: Claims → Finance → People,forward,ALL,"Claims,Finance,People",,ALL_AVAILABLE,"1,13,25","adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,5000000,medium,36,maximize_savings,[],"Path A: Claims first (highest potential, lowest readiness)",,,"SC-9.1b,SC-9.1c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-9.1b,sequencing,Sequence: People → Finance → Claims,forward,ALL,"People,Finance,Claims",,ALL_AVAILABLE,"1,13,25","adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,5000000,medium,36,maximize_savings,[],"Path B: People first (easiest, builds capital)",,,"SC-9.1a,SC-9.1c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-9.1c,sequencing,Sequence: Finance → Claims → People,forward,ALL,"Finance,Claims,People",,ALL_AVAILABLE,"1,13,25","adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,5000000,medium,36,maximize_savings,[],"Path C: Finance first (moderate potential, moderate readiness)",,,"SC-9.1a,SC-9.1b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,forward,Claims,Claims,,ALL_AVAILABLE,7,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,3000000,medium,36,maximize_savings,[],"People first: reskill months 1-6, deploy month 7, reduce month 13",,,"SC-9.3b,SC-9.3c",,7,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,forward,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,3000000,medium,36,maximize_savings,[],"Tech first: deploy month 1, reskill month 4, reduce month 10",,,"SC-9.3a,SC-9.3c",,1,,,,,,,,,,,10,,4,,,,,,,,,,,,,,,
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,forward,Claims,Claims,,ALL_AVAILABLE,1,adoption,0.6,0.0,0.0,0.3,4,active_reduction,absorb_adjacent,0,2000000,high,36,maximize_savings,[],"Cut first (WARNING): deploy month 1, reduce month 4, reskill month 10 — expected to fail",,,"SC-9.3a,SC-9.3b",,1,,,,,,,,,,,4,,10,,,,,,,,,,,,,,,
SC-7.2,function_transformation,Which Function First? (3-way comparison),comparison,SINGLE_FUNCTION,"Claims,Finance,People",,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,2000000,medium,18,compare_functions,[],Same budget and policy applied to each function independently — which generates best ROI and political capital?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),comparison,ALL,"Claims,Technology",,,,,0.0,0.0,0.0,0.0,0,no_change,none,0,1000000,low,24,compare_skill_options,[],"Build vs buy vs borrow — cost, time, cultural impact comparison",,,,,,,,,,,"[{""method"":""reskill"",""source"":""CL-003"",""duration_mo"":8,""cost_pp"":8000,""success_rate"":0.75},{""method"":""hire"",""time_to_fill_mo"":4,""cost_pp"":15000,""salary_premium"":12000},{""method"":""contract"",""hourly_rate"":85,""ramp_mo"":1}]",,,,30,,,,,,AI Operations,,,,,,,,,,,,
SC-10.1,sensitivity,Readiness Sweep (20→90),sensitivity,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,3000000,high,36,sensitivity_analysis,[],Most critical parameter — expect breakpoint at ~40,,,,,,,,,,,,,,,,,,,,,,change_readiness,"[20,30,40,50,60,70,80,90]",,,,,,,,,,
SC-10.2,sensitivity,Readiness × Proficiency Interaction,sensitivity,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,3000000,high,36,sensitivity_analysis,[],3×3 interaction matrix — proves multiplicative effect,,,,,,,,,,,,,,,,,,,,,,"change_readiness,ai_proficiency","{""change_readiness"":[30,50,70],""ai_proficiency"":[20,40,60]}",,,,,,,,,,
SC-10.3,stress_test,Trust Destruction (2 AI Errors),forward,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,3000000,medium,36,stress_test,"[{""month"":6,""type"":""ai_error"",""severity"":""high"",""function"":""Claims""},{""month"":10,""type"":""ai_error"",""severity"":""medium"",""function"":""Claims""}]",Two AI errors — proves trust asymmetry and recovery dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),forward,Technology,Technology,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,0,3000000,high,36,stress_test,"[{""month"":8,""type"":""attrition_spike"",""function"":""Technology"",""magnitude_pct"":15}]",Sudden talent loss — proves cascading impact on in-flight programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,sensitivity,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion,extension",0.8,0.5,0.3,0.35,3,active_reduction,hybrid,0,5000000,critical,36,find_breakpoint,[],Find the HC reduction % where quality collapses (B1 vicious cycle triggers),,,,,,,,,,,,,,0.85,,,,,,,,target_headcount_reduction_pct,"[5,10,15,20,25,30,35,40,45,50]",,,,,,,,,,
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),forward,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,3000000,medium,36,regulatory_impact,"[{""month"":1,""type"":""regulation_change"",""additional_mandated_human_tasks"":30,""function"":""Claims""}]",30 more tasks become compliance-mandated human — ceiling compresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-11.2,regulatory,AI Now Permitted for Claims Triage,forward,Claims,Claims,,Custom Claims AI,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,hybrid,45,3000000,medium,36,regulatory_impact,"[{""month"":1,""type"":""regulation_relaxation"",""unlocked_tasks"":[""claims_triage"",""initial_review""],""function"":""Claims""}]",Regulation relaxation unlocks previously forbidden automation — ceiling expands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-12.4,competitive,Competitor Match: 50% Claims Automation,inverse,Claims,Claims,,ALL_AVAILABLE,,"adoption,expansion,extension",0.8,0.5,0.3,0.4,3,rapid_redeployment,automate_first,60,0,high,18,match_competitor,[],Compressed timeline — what does it take to match competitor in 18 months?,,,,,,,,,,,,,,,,,,,,,,,,,automation_pct,,50,,,high,,,
SC-12.1,composite,Full 36-Month Transformation Program,forward,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion,extension",0.7,0.4,0.2,0.3,4,moderate_reduction,hybrid,45,8000000,high,36,maximize_savings,[],Full complexity — 8 concurrent workstreams interacting through shared human system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Claims Quick Wins"",""start"":1,""end"":6,""type"":""adoption_gap"",""scope"":""Claims""},{""name"":""Org-wide Copilot"",""start"":3,""end"":12,""tool"":""Copilot"",""scope"":""ALL""},{""name"":""Claims AI Deep"",""start"":7,""end"":18,""tool"":""Custom Claims AI"",""scope"":""Claims""},{""name"":""Finance Automation"",""start"":10,""end"":24,""scope"":""Finance""},{""name"":""People Simplification"",""start"":13,""end"":24,""scope"":""People""},{""name"":""Reskilling Wave 1"",""start"":1,""end"":12,""type"":""reskill"",""scope"":""Claims,Finance""},{""name"":""Reskilling Wave 2"",""start"":13,""end"":24,""type"":""reskill"",""scope"":""People,Technology""},{""name"":""Org Restructure"",""start"":19,""end"":30,""type"":""restructure"",""scope"":""ALL""}]"
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),forward,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,1,"adoption,expansion,extension",0.6,0.3,0.2,0.3,4,moderate_reduction,hybrid,45,6000000,medium,36,maximize_savings,"[{""month"":12,""type"":""etter_refresh"",""ceiling_increase_pct"":8},{""month"":24,""type"":""etter_refresh"",""ceiling_increase_pct"":8}]",Rising ceiling — each annual reassessment reopens adoption gap (free money again),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,forward,WORKFLOW,"Claims,Finance","CL-001,CL-002,CL-005,FI-001,FI-002","Custom Claims AI,UiPath RPA","1,1","adoption,expansion",0.7,0.4,0.0,0.3,4,moderate_reduction,automate_first,50,3000000,medium,24,workflow_optimization,[],Cross-function workflow automation — impact > sum of task automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,
SC-7.4,org_restructure,Merge Claims Processing + Review,forward,Claims,Claims,,,,,0.0,0.0,0.0,0.0,0,level_consolidation,absorb_adjacent,50,500000,medium,18,structural_optimization,[],"Structural change — combined headcount, eliminated management overlap",,,,,,,"Claims Processing,Claims Review",,,,,,,,,,,,,,,,,,,,,,,,,,
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,forward,CL-003,Claims,CL-003,"UiPath RPA,Custom Claims AI","1,1",adoption,0.8,0.0,0.0,0.35,3,role_elimination,automate_first,45,500000,medium,12,role_elimination,[],"Full role removal (80 people, $3M savings) — cascade to adjacent roles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-6.3,role_transformation,Create AI Operations Specialist Role,forward,ALL,"Claims,Technology",,,,,0.0,0.0,0.0,0.0,0,role_creation,migrate_tasks,0,300000,low,12,role_creation,[],New role absorbing AI oversight tasks — FTE sizing from migrated hours,,,,,,,,,,AI Operations Specialist,,,,,,,,,,,,,,,,,,,"validation tasks from Claims, monitoring tasks from Technology",,,,
SC-6.4,role_transformation,Role Vacancy: Claims Examiner Attrition,forward,CL-004,Claims,CL-004,,,,0.0,0.0,0.0,0.0,0,no_change,absorb_adjacent,0,0,critical,12,impact_assessment,"[{""month"":1,""type"":""role_vacancy"",""role_id"":""CL-004"",""loss_pct"":100}]","What happens when nobody does this job? Orphaned tasks, homeless skills, role vacuum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-2.4,headcount_target,Flatten Management Layers,forward,ALL,"Claims,Technology,Finance,People",,Microsoft Copilot,1,adoption,0.5,0.0,0.0,0.3,4,level_consolidation,absorb_adjacent,50,1000000,medium,18,structural_optimization,[],"Flatten org — merge management levels, expand spans of control",,,,,,"Manager,Senior Manager",,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.1,stress_test,Compressed Timeline: 24 Months,forward,Claims,Claims,,Microsoft Copilot,1,"adoption,expansion",0.7,0.4,0.0,0.35,3,active_reduction,absorb_adjacent,0,2000000,high,24,maximize_savings,[],"Same transformation compressed to 24 months — tests J-curve compression and feedback loop dynamics under time pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.2,stress_test,Compressed Timeline: 12 Months,forward,Claims,Claims,,Microsoft Copilot,1,adoption,0.8,0.0,0.0,0.5,2,active_reduction,absorb_adjacent,0,1500000,critical,12,maximize_savings,[],"Extreme compression to 12 months — steep S-curve, expect negative net savings and high risk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.3,stress_test,50% HC Reduction Target (Claims),inverse,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion,extension",0.9,0.6,0.4,0.4,3,active_reduction,automate_first,0,5000000,critical,36,achieve_target,[],"Push for 50% headcount reduction — tests model limits, seniority offset, absorption ceiling",,,,,,,,,,,,,,,,,,,,,,,,headcount_reduction_pct,,50,,,,,,
SC-ST.4,stress_test,50% HC Reduction Target (All Functions),inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,1,"adoption,expansion,extension",0.9,0.6,0.4,0.4,3,active_reduction,hybrid,0,8000000,critical,36,achieve_target,[],"50% org-wide — maximum stress on all feedback loops, human system collapse scenario",,,,,,,,,,,,,,,,,,,,,,,,headcount_reduction_pct,,50,,,,,,
SC-ST.5,stress_test,Rapid Automation: k=1.0 (Near-Instant),forward,Claims,Claims,,Microsoft Copilot,1,adoption,0.8,0.0,0.0,1.0,2,moderate_reduction,absorb_adjacent,0,2000000,high,36,maximize_savings,[],"Near-step-function adoption — tests if feedback dampening prevents unrealistic outcomes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.6,stress_test,Low Readiness + Fast Change,forward,Claims,Claims,,Microsoft Copilot,1,"adoption,expansion",0.8,0.5,0.0,0.4,3,active_reduction,absorb_adjacent,0,2000000,critical,36,stress_test,[],"Maximum resistance scenario: readiness=20, proficiency=15, trust=15, fast adoption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.7,stress_test,Triple AI Error Sequence,forward,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,3000000,critical,36,stress_test,"[{""month"":5,""type"":""ai_error""},{""month"":10,""type"":""ai_error""},{""month"":15,""type"":""ai_error""}]","Three AI errors — trust destruction cascade, expect near-zero adoption recovery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.8,stress_test,30% HC Reduction in 18 Months,inverse,Claims,Claims,,ALL_AVAILABLE,1,"adoption,expansion",0.8,0.5,0.0,0.4,3,active_reduction,automate_first,0,3000000,high,18,achieve_target,[],"Aggressive target with compressed timeline — common executive ask",,,,,,,,,,,,,,,,,,,,,,,,headcount_reduction_pct,,30,,,,,,
SC-ST.9,stress_test,Maximum Human System (Best Case),forward,Claims,Claims,,Microsoft Copilot,1,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,2000000,low,36,maximize_savings,[],"Best case: readiness=90, proficiency=80, trust=85 — upper bound of what is achievable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-ST.10,stress_test,Zero Budget Constraint,forward,Claims,Claims,,Microsoft Copilot,1,adoption,0.6,0.0,0.0,0.3,4,natural_attrition,absorb_adjacent,0,0,low,36,minimize_cost,[],"No investment budget — only use already-deployed tools, natural attrition only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
